,Title,Keywords,Start_Date,End_Date
99,Decreases In Readmissions Credited To Medicare’s Program To Reduce Hospital Readmissions Have Been Overstated,DECREASES READMISSIONS CREDITED MEDICARE’S REDUCE READMISSIONS OVERSTATED,2019-01-02,
100,The Effect Of The Hospital Readmissions Reduction Program On Readmission And Observation Stay Rates For Heart Failure,HOSPITAL READMISSIONS REDUCTION READMISSION OBSERVATION RATES FAILURE,2018-10-02,
101,Reducing Hospital Readmissions Through Preferred Networks Of Skilled Nursing Facilities,REDUCING HOSPITAL READMISSIONS NETWORKS NURSING FACILITIES,2017-09-02,
102,"Most Hospitals Received Annual Penalties For Excess Readmissions, But Some Fared Better Than Others",HOSPITALS RECEIVED PENALTIES EXCESS READMISSIONS FARED OTHERS,2017-05-02,
103,Rethinking Thirty-Day Hospital Readmissions: Shorter Intervals Might Be Better Indicators Of Quality Of Care,RETHINKING HOSPITAL READMISSIONS SHORTER INTERVALS INDICATORS QUALITY,2016-10-02,
104,"Readmissions To New York Hospitals Fell For Three Target Conditions From 2008 To 2012, Consistent With Medicare Goals",READMISSIONS HOSPITALS FELL TARGET CONSISTENT MEDICARE GOALS,2015-06-02,
105,Socioeconomic Status And Readmissions: Evidence From An Urban Teaching Hospital,STATUS READMISSIONS EVIDENCE URBAN TEACHING HOSPITAL,2014-05-02,
106,Adding Socioeconomic Data To Hospital Readmissions Calculations May Produce More Useful Results,ADDING SOCIOECONOMIC HOSPITAL READMISSIONS CALCULATIONS PRODUCE RESULTS,2014-05-02,
107,Hospitals With Higher Nurse Staffing Had Lower Odds Of Readmissions Penalties Than Hospitals With Lower Staffing,HOSPITALS STAFFING ODDS READMISSIONS PENALTIES HOSPITALS STAFFING,2013-10-02,
108,Transitional Care Cut Hospital Readmissions For North Carolina Medicaid Patients With Complex Chronic Conditions,TRANSITIONAL READMISSIONS CAROLINA MEDICAID PATIENTS COMPLEX CHRONIC,2013-08-02,
109,An Early Look At A Four-State Initiative To Reduce Avoidable Hospital Readmissions,EARLY FOUR INITIATIVE REDUCE AVOIDABLE HOSPITAL READMISSIONS,2011-07-02,
110,Nursing Facilities Can Reduce Avoidable Hospitalizations Without Increasing Mortality Risk For Residents,NURSING FACILITIES REDUCE AVOIDABLE HOSPITALIZATIONS INCREASING MORTALITY RESIDENTS,2018-10-02,
111,Innovative Population Health Model Associated With Reduced Emergency Department Use And Inpatient Hospitalizations,INNOVATIVE POPULATION ASSOCIATED REDUCED EMERGENCY INPATIENT HOSPITALIZATIONS,2018-04-02,
112,Association Of A Regional Health Improvement Collaborative With Ambulatory Care–Sensitive Hospitalizations,ASSOCIATION REGIONAL IMPROVEMENT COLLABORATIVE AMBULATORY CARE–SENSITIVE HOSPITALIZATIONS,2018-02-02,
113,"Mortality Quadrupled Among Opioid-Driven Hospitalizations, Notably Within Lower-Income And Disabled White Populations",MORTALITY QUADRUPLED OPIOID HOSPITALIZATIONS NOTABLY DISABLED POPULATIONS,2017-12-02,
114,Initiative To Reduce Avoidable Hospitalizations Among Nursing Facility Residents Shows Promising Results,INITIATIVE REDUCE HOSPITALIZATIONS NURSING FACILITY RESIDENTS SHOWS,2017-03-02,
115,"Hospitalizations Related To Opioid Abuse/Dependence And Associated Serious Infections Increased Sharply, 2002–12",HOSPITALIZATIONS ABUSE DEPENDENCE ASSOCIATED INFECTIONS INCREASED SHARPLY,2016-05-02,
116,Federally Qualified Health Center Use Among Dual Eligibles: Rates Of Hospitalizations And Emergency Department Visits,FEDERALLY QUALIFIED DUAL ELIGIBLES HOSPITALIZATIONS EMERGENCY VISITS,2015-07-02,
117,"In California, Primary Care Continuity Was Associated With Reduced Emergency Department Use And Fewer Hospitalizations",CALIFORNIA PRIMARY CONTINUITY ASSOCIATED REDUCED EMERGENCY HOSPITALIZATIONS,2015-07-02,
118,Smoking Bans Linked To Lower Hospitalizations For Heart Attacks And Lung Disease Among Medicare Beneficiaries,SMOKING BANS LINKED HOSPITALIZATIONS LUNG MEDICARE BENEFICIARIES,2012-12-02,
119,"Regional Variations: The Use Of Hospitals, Home Health, And Skilled Nursing In Traditional Medicare And Medicare Advantage",VARIATIONS HOSPITALS NURSING TRADITIONAL MEDICARE MEDICARE ADVANTAGE,2018-08-02,
120,Racial And Ethnic Disparities Persist At Veterans Health Administration Patient-Centered Medical Homes,RACIAL ETHNIC DISPARITIES PERSIST VETERANS CENTERED HOMES,2017-06-02,
121,Reduced Acute Inpatient Care Was Largest Savings Component Of Geisinger Health System’s Patient-Centered Medical Home,ACUTE INPATIENT SAVINGS COMPONENT GEISINGER SYSTEM’S CENTERED,2015-04-02,
122,"Patient-Centered Medical Home Initiative Produced Modest Economic Results For Veterans Health Administration, 2010–12",PATIENT CENTERED MEDICAL INITIATIVE PRODUCED VETERANS ADMINISTRATION,2014-06-02,
123,Nurse-Managed Health Centers And Patient-Centered Medical Homes Could Mitigate Expected Primary Care Physician Shortage,NURSE CENTERS CENTERED HOMES MITIGATE PHYSICIAN SHORTAGE,2013-11-02,
124,Results From A Patient-Centered Medical Home Pilot At UPMC Health Plan Hold Lessons For Broader Adoption Of The Model,PATIENT CENTERED PILOT UPMC LESSONS BROADER ADOPTION,2012-11-02,
125,Durable Medical Equipment And Home Health Among The Largest Contributors To Area Variations In Use Of Medicare Services,DURABLE MEDICAL EQUIPMENT CONTRIBUTORS VARIATIONS MEDICARE SERVICES,2012-05-02,
126,A Health Plan Spurs Transformation Of Primary Care Practices Into Better-Paid Medical Homes,SPURS TRANSFORMATION PRIMARY PRACTICES PAID MEDICAL HOMES,2011-03-02,
127,The Future Of Health Information Technology In The Patient-Centered Medical Home,FUTURE HEALTH INFORMATION TECHNOLOGY PATIENT CENTERED MEDICAL,2010-04-02,
128,Peer Support For Self-Management Of Diabetes Improved Outcomes In International Settings,PEER SELF MANAGEMENT DIABETES IMPROVED OUTCOMES SETTINGS,2012-01-02,
129,The Invisible Homebound: Setting Quality-Of-Care Standards For Home-Based Primary And Palliative Care,INVISIBLE HOMEBOUND SETTING QUALITY STANDARDS PRIMARY PALLIATIVE,2015-01-02,
130,Home-Based Care Program Reduces Disability And Promotes Aging In Place,BASED CARE PROGRAM REDUCES DISABILITY PROMOTES AGING,2016-09-02,
131,Changes In End-Of-Life Care In The Medicare Shared Savings Program,CHANGES END CARE MEDICARE SHARED SAVINGS PROGRAM,2018-10-02,
132,Factors Contributing To Geographic Variation In End-Of-Life Expenditures For Cancer Patients,FACTORS CONTRIBUTING GEOGRAPHIC VARIATION EXPENDITURES CANCER PATIENTS,2018-07-02,
133,Quality Of End-Of-Life Care Is Higher In The VA Compared To Care Paid For By Traditional Medicare,QUALITY HIGHER VA COMPARED PAID TRADITIONAL MEDICARE,2018-01-02,
134,A National Profile Of End-Of-Life Caregiving In The United States,NATIONAL PROFILE END LIFE CAREGIVING UNITED STATES,2017-07-02,
135,Increasing Veterans’ Hospice Use: The Veterans Health Administration’s Focus On Improving End-Of-Life Care,INCREASING VETERANS’ HOSPICE VETERANS ADMINISTRATION’S FOCUS IMPROVING,2017-07-02,
136,Approximately One In Three US Adults Completes Any Type Of Advance Directive For End-Of-Life Care,APPROXIMATELY ADULTS COMPLETES TYPE ADVANCE DIRECTIVE CARE,2017-07-02,
137,Innovation Can Improve And Expand Aspects Of End-Of-Life Care In Low- And Middle-Income Countries,INNOVATION IMPROVE EXPAND ASPECTS MIDDLE INCOME COUNTRIES,2014-09-02,
138,Advance Directives And Nursing Home Stays Associated With Less Aggressive End-Of-Life Care For Patients With Severe Dementia,ADVANCE DIRECTIVES NURSING STAYS AGGRESSIVE PATIENTS DEMENTIA,2014-04-02,
139,A New Medicare End-Of-Life Benefit For Nursing Home Residents,NEW MEDICARE END NURSING HOME RESIDENTS,2010-01-02,
140,Corporate Investors Increased Common Ownership In Hospitals And The Postacute Care And Hospice Sectors,INVESTORS INCREASED OWNERSHIP HOSPITALS POSTACUTE HOSPICE SECTORS,2017-09-02,
141,Nearly Half Of All Medicare Hospice Enrollees Received Care From Agencies Owned By Regional Or National Chains,MEDICARE HOSPICE ENROLLEES AGENCIES OWNED REGIONAL CHAINS,2015-01-02,
142,Palliative Care Leadership Centers Are Key To The Diffusion Of Palliative Care Innovation,PALLIATIVE LEADERSHIP CENTERS KEY DIFFUSION PALLIATIVE INNOVATION,2018-02-02,
143,Few Hospital Palliative Care Programs Meet National Staffing Recommendations,HOSPITAL PALLIATIVE CARE PROGRAMS MEET STAFFING RECOMMENDATIONS,2016-09-02,
144,The Invisible Homebound: Setting Quality-Of-Care Standards For Home-Based Primary And Palliative Care,INVISIBLE HOMEBOUND SETTING QUALITY STANDARDS PRIMARY PALLIATIVE,2015-01-02,
145,Raising The Standard: Palliative Care In Nursing Homes,RAISING STANDARD PALLIATIVE CARE NURSING HOMES,2010-01-02,
146,"The Alzheimer’s Study Group’s Recommendations Five Years Later: Planning Has Advanced, But Agenda Remains Unfinished",STUDY GROUP’S RECOMMENDATIONS ADVANCED AGENDA REMAINS UNFINISHED,2014-04-02,
147,Medicaid Expansion And Community Health Centers: Care Quality And Service Use Increased For Rural Patients,MEDICAID EXPANSION COMMUNITY CENTERS QUALITY INCREASED PATIENTS,2018-06-02,
148,"Rapid Growth In Mental Health Telemedicine Use Among Rural Medicare Beneficiaries, Wide Variation Across States",MENTAL TELEMEDICINE RURAL MEDICARE BENEFICIARIES WIDE VARIATION,2017-05-02,
149,Lessons From Tele-Emergency: Improving Care Quality And Health Outcomes By Expanding Support For Rural Care Systems,LESSONS TELE EMERGENCY IMPROVING OUTCOMES EXPANDING RURAL,2014-02-02,
