Title,Start_Date,Link,End_Date,Query
Potential Eye Damage From Alcon CyPass Micro Stent Used to Treat Open Angle Glaucoma,,https://www.fda.gov/medical-devices/safety-communications/potential-eye-damage-alcon-cypass-micro-stent-used-treat-open-angle-glaucoma-fda-safety,2018-09-14,ALCON CYPASS STENT GLAUCOMA
FDA Warns Against Use of Energy Based Devices to Perform Vaginal 'Rejuvenation' or Vaginal Cosmetic Procedures,,https://www.fda.gov/medical-devices/safety-communications/fda-warns-against-use-energy-based-devices-perform-vaginal-rejuvenation-or-vaginal-cosmetic,2018-07-30,WARNS VAGINAL REJUVENATION COSMETIC
UPDATE: Zoll LifeVest 4000 Wearable Cardioverter Defibrillator   Potential Lack of Treatment (Shock) Delivery Due to Device Failure,,https://www.fda.gov/medical-devices/safety-communications/update-zoll-lifevest-4000-wearable-cardioverter-defibrillator-potential-lack-treatment-shock,2018-07-25,ZOLL LIFEVEST CARDIOVERTER DEFIBRILLATOR
Update: Availability of Deep Cleaning Service of Certain LivaNova PLC (formerly Sorin Group Deutschland GmbH) Stӧckert 3T Heater Cooler Systems in the U.S.,,https://www.fda.gov/medical-devices/safety-communications/update-availability-deep-cleaning-service-certain-livanova-plc-formerly-sorin-group-deutschland-gmbh,2018-06-12,LIVANOVA SORIN DEUTSCHLAND GMBH
Recommendations to Reduce Surgical Fires and Related Patient Injury,,https://www.fda.gov/medical-devices/safety-communications/recommendations-reduce-surgical-fires-and-related-patient-injury-fda-safety-communication,2018-05-29,RECOMMENDATIONS SURGICAL FIRES INJURY
Battery Performance Alert and Cybersecurity Firmware Updates for Certain Abbott (formerly St. Jude Medical) Implantable Cardiac Devices,,https://www.fda.gov/medical-devices/safety-communications/battery-performance-alert-and-cybersecurity-firmware-updates-certain-abbott-formerly-st-jude-medical,2018-04-17,CYBERSECURITY FIRMWARE JUDE IMPLANTABLE
UPDATE: Use of Custom Ultrasonics System 83 Plus Automated Endoscope Reprocessors (AERs) for Reprocessing of Certain Duodenoscopes,,https://www.fda.gov/medical-devices/safety-communications/update-use-custom-ultrasonics-system-83-plus-automated-endoscope-reprocessors-aers-reprocessing,2018-04-10,ULTRASONICS REPROCESSORS AERS DUODENOSCOPES
Updated Status of Pentax Medical Duodenoscope Model ED 3490TK,,https://www.fda.gov/medical-devices/safety-communications/updated-status-pentax-medical-duodenoscope-model-ed-3490tk-fda-safety-communication,2018-02-07,UPDATED PENTAX DUODENOSCOPE ED
Zoll LifeVest 4000 Wearable Cardioverter Defibrillator   Potential Lack of Treatment (Shock) Delivery Due to Device Failure,,https://www.fda.gov/medical-devices/safety-communications/zoll-lifevest-4000-wearable-cardioverter-defibrillator-potential-lack-treatment-shock-delivery-due,2018-01-17,ZOLL LIFEVEST CARDIOVERTER DEFIBRILLATOR
"Problem with Quality of Mammograms at Palm Beach Broward Medical Imaging Center in Deerfield Beach, Florida",,https://www.fda.gov/medical-devices/safety-communications/problem-quality-mammograms-palm-beach-broward-medical-imaging-center-deerfield-beach-florida-fda,2018-01-03,MAMMOGRAMS BROWARD IMAGING DEERFIELD
The FDA Warns that Biotin May Interfere with Lab Tests,,https://www.fda.gov/medical-devices/safety-communications/fda-warns-biotin-may-interfere-lab-tests-fda-safety-communication,2017-11-28, WARNS BIOTIN INTERFERE
FDA Warns Against Use of Injectable Silicone for Body Contouring and Enhancement,,https://www.fda.gov/medical-devices/safety-communications/fda-warns-against-use-injectable-silicone-body-contouring-and-enhancement-fda-safety-communication,2017-11-14,WARNS INJECTABLE SILICONE CONTOURING
The FDA Recommends Against Using Laserworld and Ray Technologies International Laser Projectors,,https://www.fda.gov/medical-devices/safety-communications/fda-recommends-against-using-laserworld-and-ray-technologies-international-laser-projectors-fda,2017-11-07, RECOMMENDS LASERWORLD PROJECTORS
Firmware Update to Address Cybersecurity Vulnerabilities Identified in Abbott's (formerly St. Jude Medical's) Implantable Cardiac Pacemakers,,https://www.fda.gov/medical-devices/safety-communications/firmware-update-address-cybersecurity-vulnerabilities-identified-abbotts-formerly-st-jude-medicals,2017-08-29,ABBOTTS MEDICALS IMPLANTABLE PACEMAKERS
"Updated Status of FUJIFILM Medical Systems, U.S.A., Inc. Model ED 530XT Duodenoscopes",,https://www.fda.gov/medical-devices/safety-communications/updated-status-fujifilm-medical-systems-usa-inc-model-ed-530xt-duodenoscopes-fda-safety,2017-07-21,UPDATED FUJIFILM INC DUODENOSCOPES
Navigational Accuracy Errors Associated with Frameless Stereotaxic (Stereotactic) Navigation Systems,,https://www.fda.gov/medical-devices/safety-communications/navigational-accuracy-errors-associated-frameless-stereotaxic-stereotactic-navigation-systems-fda,2017-06-15,NAVIGATIONAL FRAMELESS STEREOTAXIC STEREOTACTIC
FDA Warns Against Using Magellan Diagnostics LeadCare Testing Systems with Blood Obtained from a Vein,,https://www.fda.gov/medical-devices/safety-communications/fda-warns-against-using-magellan-diagnostics-leadcare-testing-systems-blood-obtained-vein-fda-safety,2017-05-17,WARNS MAGELLAN DIAGNOSTICS LEADCARE
"FDA Warns Of Potentially Contaminated SPS 1 Static Preservation Solution Distributed by Organ Recovery Systems, Inc.",,https://www.fda.gov/medical-devices/safety-communications/fda-warns-potentially-contaminated-sps-1-static-preservation-solution-distributed-organ-recovery,2017-03-09, WARNS CONTAMINATED SPS
FDA concern over experimental procedures that use balloon angioplasty devices to treat autonomic dysfunction,,https://www.fda.gov/medical-devices/safety-communications/fda-concern-over-experimental-procedures-use-balloon-angioplasty-devices-treat-autonomic-dysfunction,2017-03-08, ANGIOPLASTY AUTONOMIC DYSFUNCTION
UPDATE: Importance of Following Validated Reprocessing Instructions for PENTAX ED 3490TK Video Duodenoscopes,,https://www.fda.gov/medical-devices/safety-communications/update-importance-following-validated-reprocessing-instructions-pentax-ed-3490tk-video-duodenoscopes,2017-01-17,VALIDATED REPROCESSING PENTAX DUODENOSCOPES
"FUJIFILM Medical Systems, U.S.A., Inc. removes certain older duodenoscope models from clinical use",,https://www.fda.gov/medical-devices/safety-communications/fujifilm-medical-systems-usa-inc-removes-certain-older-duodenoscope-models-clinical-use-fda-safety,2017-01-13,FUJIFILM REMOVES DUODENOSCOPE CLINICAL
Safety Concerns with Implantable Infusion Pumps in the Magnetic Resonance (MR) Environment,,https://www.fda.gov/medical-devices/safety-communications/safety-concerns-implantable-infusion-pumps-magnetic-resonance-mr-environment-fda-safety,2017-01-11,IMPLANTABLE INFUSION PUMPS RESONANCE
Cybersecurity Vulnerabilities Identified in St. Jude Medical's Implantable Cardiac Devices and Merlin@home Transmitter,,https://www.fda.gov/medical-devices/safety-communications/cybersecurity-vulnerabilities-identified-st-jude-medicals-implantable-cardiac-devices-and-merlinhome,2017-01-09,CYBERSECURITY MEDICALS IMPLANTABLE MERLINHOME
