Title,Start_Date,Link,End_Date,Query,Keywords
Use Caution with Implanted Pumps for Intrathecal Administration of Medicines for Pain Management,,https://www.fda.gov/medical-devices/safety-communications/use-caution-implanted-pumps-intrathecal-administration-medicines-pain-management-fda-safety,11/14/2018,IMPLANTED PUMPS INTRATHECAL,"['IMPLANTED PUMPS INTRATHECAL MEDICINES', 'https://www.fda.gov/medical-devices/safety-communications/use-caution-implanted-pumps-intrathecal-administration-medicines-pain-management-fda-safety']"
The FDA Warns Against the use of Many Genetic Tests with Unapproved Claims to Predict Patient Response to Specific Medications,,https://www.fda.gov/medical-devices/safety-communications/fda-warns-against-use-many-genetic-tests-unapproved-claims-predict-patient-response-specific,11/1/2018,"GENETIC TESTS UNAPPROVED MEDICATIONS, GENETIC TEST UNAPPROVED MEDICATION, GENETIC TESTS UNAPPROVED MEDICATION, GENETIC TEST UNAPPROVED MEDICATIONS","[' WARNS UNAPPROVED MEDICATIONS', 'https://www.fda.gov/medical-devices/safety-communications/fda-warns-against-use-many-genetic-tests-unapproved-claims-predict-patient-response-specific']"
UPDATE: Potential Eye Damage from Alcon CyPass Micro Stent Used to Treat Open Angle Glaucoma,,https://www.fda.gov/medical-devices/safety-communications/update-potential-eye-damage-alcon-cypass-micro-stent-used-treat-open-angle-glaucoma-fda-safety,10/24/2018,DAMAGE ALCON CYPASS STENT,"['ALCON CYPASS STENT GLAUCOMA', 'https://www.fda.gov/medical-devices/safety-communications/update-potential-eye-damage-alcon-cypass-micro-stent-used-treat-open-angle-glaucoma-fda-safety']"
Increased Risk of Corneal Haze Associated with the Raindrop Near Vision Inlay (Updated 03 05 19),,https://www.fda.gov/medical-devices/safety-communications/increased-risk-corneal-haze-associated-raindrop-near-vision-inlay-fda-safety-communication,10/23/2018,CORNEAL HAZE RAINDROP INLAY,"['CORNEAL HAZE RAINDROP INLAY', 'https://www.fda.gov/medical-devices/safety-communications/increased-risk-corneal-haze-associated-raindrop-near-vision-inlay-fda-safety-communication']"
Updated Information To Reduce Potential Cardiac Surgery Infection Risks Associated With the LivaNova 3T Heater Cooler Systems,,https://www.fda.gov/medical-devices/safety-communications/updated-information-reduce-potential-cardiac-surgery-infection-risks-associated-livanova-3t-heater,10/19/2018,INFECTION LIVANOVA HEATER COOLER,"['CARDIAC LIVANOVA HEATER COOLER', 'https://www.fda.gov/medical-devices/safety-communications/updated-information-reduce-potential-cardiac-surgery-infection-risks-associated-livanova-3t-heater']"
Cybersecurity Updates Affecting Medtronic Implantable Cardiac Device Programmers,,https://www.fda.gov/medical-devices/safety-communications/cybersecurity-updates-affecting-medtronic-implantable-cardiac-device-programmers-fda-safety,10/11/2018,CYBERSECURITY MEDTRONIC IMPLANTABLE CARDIAC,"['CYBERSECURITY MEDTRONIC IMPLANTABLE PROGRAMMERS', 'https://www.fda.gov/medical-devices/safety-communications/cybersecurity-updates-affecting-medtronic-implantable-cardiac-device-programmers-fda-safety']"
Caution When Using Pen Needles to Inject Medicines,,https://www.fda.gov/medical-devices/safety-communications/caution-when-using-pen-needles-inject-medicines-fda-safety-communication,9/27/2018,"NEEDLES INJECT MEDICINES, NEEDLE INJECT MEDICINE, NEEDLE INJECT MEDICINES, NEEDLES INJECT MEDICINE","['CAUTION NEEDLES INJECT MEDICINES', 'https://www.fda.gov/medical-devices/safety-communications/caution-when-using-pen-needles-inject-medicines-fda-safety-communication']"
"Mammography Problems at Aims Diagnostic Imaging in Manahawkin, NJ",,https://www.fda.gov/medical-devices/safety-communications/mammography-problems-aims-diagnostic-imaging-manahawkin-nj-fda-safety-communication,9/24/2018,"MAMMOGRAPHY DIAGNOSTIC IMAGING PROBLEMS, MAMMOGRAPHY DIAGNOSTIC IMAGING COMPLICATIONS, MAMMOGRAPHY DIAGNOSTIC IMAGING ISSUES","['MAMMOGRAPHY DIAGNOSTIC MANAHAWKIN NJ', 'https://www.fda.gov/medical-devices/safety-communications/mammography-problems-aims-diagnostic-imaging-manahawkin-nj-fda-safety-communication']"
Potential Eye Damage From Alcon CyPass Micro Stent Used to Treat Open Angle Glaucoma,,https://www.fda.gov/medical-devices/safety-communications/potential-eye-damage-alcon-cypass-micro-stent-used-treat-open-angle-glaucoma-fda-safety,9/14/2018,DAMAGE ALCON CYPASS STENT,"['ALCON CYPASS STENT GLAUCOMA', 'https://www.fda.gov/medical-devices/safety-communications/potential-eye-damage-alcon-cypass-micro-stent-used-treat-open-angle-glaucoma-fda-safety']"
FDA Warns Against Use of Energy Based Devices to Perform Vaginal 'Rejuvenation' or Vaginal Cosmetic Procedures,,https://www.fda.gov/medical-devices/safety-communications/fda-warns-against-use-energy-based-devices-perform-vaginal-rejuvenation-or-vaginal-cosmetic,7/30/2018,"VAGINAL REJUVENATION ENERGY BASED, VAGINAL REJUVENATION ENERGY-BASED, VAGINAL COSMETIC ENERGY BASED, VAGINAL COSMETIC ENERGY-BASED","['WARNS VAGINAL REJUVENATION COSMETIC', 'https://www.fda.gov/medical-devices/safety-communications/fda-warns-against-use-energy-based-devices-perform-vaginal-rejuvenation-or-vaginal-cosmetic']"
UPDATE: Zoll LifeVest 4000 Wearable Cardioverter Defibrillator   Potential Lack of Treatment (Shock) Delivery Due to Device Failure,,https://www.fda.gov/medical-devices/safety-communications/update-zoll-lifevest-4000-wearable-cardioverter-defibrillator-potential-lack-treatment-shock,7/25/2018,ZOLL LIFEVEST DEFIBRILLATOR FAILURE,"['ZOLL LIFEVEST CARDIOVERTER DEFIBRILLATOR', 'https://www.fda.gov/medical-devices/safety-communications/update-zoll-lifevest-4000-wearable-cardioverter-defibrillator-potential-lack-treatment-shock']"
Update: Availability of Deep Cleaning Service of Certain LivaNova PLC (formerly Sorin Group Deutschland GmbH) Stӧckert 3T Heater Cooler Systems in the U.S.,,https://www.fda.gov/medical-devices/safety-communications/update-availability-deep-cleaning-service-certain-livanova-plc-formerly-sorin-group-deutschland-gmbh,6/12/2018,DEEP CLEANING LIVANOVA,"['LIVANOVA SORIN DEUTSCHLAND GMBH', 'https://www.fda.gov/medical-devices/safety-communications/update-availability-deep-cleaning-service-certain-livanova-plc-formerly-sorin-group-deutschland-gmbh']"
Recommendations to Reduce Surgical Fires and Related Patient Injury,,https://www.fda.gov/medical-devices/safety-communications/recommendations-reduce-surgical-fires-and-related-patient-injury-fda-safety-communication,5/29/2018,"SURGICAL FIRES INJURY, SURGICAL FIRE INJURY","['RECOMMENDATIONS SURGICAL FIRES INJURY', 'https://www.fda.gov/medical-devices/safety-communications/recommendations-reduce-surgical-fires-and-related-patient-injury-fda-safety-communication']"
Battery Performance Alert and Cybersecurity Firmware Updates for Certain Abbott (formerly St. Jude Medical) Implantable Cardiac Devices,,https://www.fda.gov/medical-devices/safety-communications/battery-performance-alert-and-cybersecurity-firmware-updates-certain-abbott-formerly-st-jude-medical,4/17/2018,"BATTERY ABBOTT IMPLANTABLE, CYBERSECURITY ABBOTT IMPLANTABLE","['CYBERSECURITY FIRMWARE JUDE IMPLANTABLE', 'https://www.fda.gov/medical-devices/safety-communications/battery-performance-alert-and-cybersecurity-firmware-updates-certain-abbott-formerly-st-jude-medical']"
UPDATE: Use of Custom Ultrasonics System 83 Plus Automated Endoscope Reprocessors (AERs) for Reprocessing of Certain Duodenoscopes,,https://www.fda.gov/medical-devices/safety-communications/update-use-custom-ultrasonics-system-83-plus-automated-endoscope-reprocessors-aers-reprocessing,4/10/2018,"ULTRASONICS REPROCESSORS DUODENOSCOPES, ULTRASONICS REPROCESSING DUODENOSCOPES","['ULTRASONICS REPROCESSORS AERS DUODENOSCOPES', 'https://www.fda.gov/medical-devices/safety-communications/update-use-custom-ultrasonics-system-83-plus-automated-endoscope-reprocessors-aers-reprocessing']"
Updated Status of Pentax Medical Duodenoscope Model ED 3490TK,,https://www.fda.gov/medical-devices/safety-communications/updated-status-pentax-medical-duodenoscope-model-ed-3490tk-fda-safety-communication,2/7/2018,"PENTAX DUODENOSCOPE PROBLEMS, PENTAX DUODENOSCOPE ISSUES, PENTAX DUODENOSCOPE COMPLICATIONS","['UPDATED PENTAX DUODENOSCOPE ED', 'https://www.fda.gov/medical-devices/safety-communications/updated-status-pentax-medical-duodenoscope-model-ed-3490tk-fda-safety-communication']"
Zoll LifeVest 4000 Wearable Cardioverter Defibrillator   Potential Lack of Treatment (Shock) Delivery Due to Device Failure,,https://www.fda.gov/medical-devices/safety-communications/zoll-lifevest-4000-wearable-cardioverter-defibrillator-potential-lack-treatment-shock-delivery-due,1/17/2018,ZOLL LIFEVEST DEFIBRILLATOR FAILURE,"['ZOLL LIFEVEST CARDIOVERTER DEFIBRILLATOR', 'https://www.fda.gov/medical-devices/safety-communications/zoll-lifevest-4000-wearable-cardioverter-defibrillator-potential-lack-treatment-shock-delivery-due']"
"Problem with Quality of Mammograms at Palm Beach Broward Medical Imaging Center in Deerfield Beach, Florida",,https://www.fda.gov/medical-devices/safety-communications/problem-quality-mammograms-palm-beach-broward-medical-imaging-center-deerfield-beach-florida-fda,1/3/2018,MAMMOGRAPHY BROWARD IMAGING DEERFIELD,"['MAMMOGRAMS BROWARD IMAGING DEERFIELD', 'https://www.fda.gov/medical-devices/safety-communications/problem-quality-mammograms-palm-beach-broward-medical-imaging-center-deerfield-beach-florida-fda']"
The FDA Warns that Biotin May Interfere with Lab Tests,,https://www.fda.gov/medical-devices/safety-communications/fda-warns-biotin-may-interfere-lab-tests-fda-safety-communication,11/28/2017,"BIOTIN LAB TEST, BIOTIN LAB TESTS","[' WARNS BIOTIN INTERFERE', 'https://www.fda.gov/medical-devices/safety-communications/fda-warns-biotin-may-interfere-lab-tests-fda-safety-communication']"
FDA Warns Against Use of Injectable Silicone for Body Contouring and Enhancement,,https://www.fda.gov/medical-devices/safety-communications/fda-warns-against-use-injectable-silicone-body-contouring-and-enhancement-fda-safety-communication,11/14/2017,"INJECTABLE SILICONE CONTOURING WARN, INJECTABLE SILICONE CONTOUR WARNING, INJECTABLE SILICONE CONTOUR WARNING, INJECTABLE SILICONE CONTOUR WARN","['WARNS INJECTABLE SILICONE CONTOURING', 'https://www.fda.gov/medical-devices/safety-communications/fda-warns-against-use-injectable-silicone-body-contouring-and-enhancement-fda-safety-communication']"
The FDA Recommends Against Using Laserworld and Ray Technologies International Laser Projectors,,https://www.fda.gov/medical-devices/safety-communications/fda-recommends-against-using-laserworld-and-ray-technologies-international-laser-projectors-fda,11/7/2017,"LASER PROJECTORS MEDICAL PROBLEMS, LASER PROJECTORS MEDICAL ISSUES","[' RECOMMENDS LASERWORLD PROJECTORS', 'https://www.fda.gov/medical-devices/safety-communications/fda-recommends-against-using-laserworld-and-ray-technologies-international-laser-projectors-fda']"
Firmware Update to Address Cybersecurity Vulnerabilities Identified in Abbott's (formerly St. Jude Medical's) Implantable Cardiac Pacemakers,,https://www.fda.gov/medical-devices/safety-communications/firmware-update-address-cybersecurity-vulnerabilities-identified-abbotts-formerly-st-jude-medicals,8/29/2017,ABBOTT CYBERSECURITY IMPLANTABLE CARDIAC,"['ABBOTTS MEDICALS IMPLANTABLE PACEMAKERS', 'https://www.fda.gov/medical-devices/safety-communications/firmware-update-address-cybersecurity-vulnerabilities-identified-abbotts-formerly-st-jude-medicals']"
"Updated Status of FUJIFILM Medical Systems, U.S.A., Inc. Model ED 530XT Duodenoscopes",,https://www.fda.gov/medical-devices/safety-communications/updated-status-fujifilm-medical-systems-usa-inc-model-ed-530xt-duodenoscopes-fda-safety,7/21/2017,"FUJIFILM DUODENOSCOPES MEDICAL PROBLEMS, FUJIFILM DUODENOSCOPES MEDICAL ISSUES, FUJIFILM DUODENOSCOPES MEDICAL COMPLICATIONS","['UPDATED FUJIFILM INC DUODENOSCOPES', 'https://www.fda.gov/medical-devices/safety-communications/updated-status-fujifilm-medical-systems-usa-inc-model-ed-530xt-duodenoscopes-fda-safety']"
Navigational Accuracy Errors Associated with Frameless Stereotaxic (Stereotactic) Navigation Systems,,https://www.fda.gov/medical-devices/safety-communications/navigational-accuracy-errors-associated-frameless-stereotaxic-stereotactic-navigation-systems-fda,6/15/2017,"ERROR FRAMELESS STEREOTAXIC NAVIGATION, ERROR FRAMELESS STEREOTACTIC NAVIGATION ","['NAVIGATIONAL FRAMELESS STEREOTAXIC STEREOTACTIC', 'https://www.fda.gov/medical-devices/safety-communications/navigational-accuracy-errors-associated-frameless-stereotaxic-stereotactic-navigation-systems-fda']"
FDA Warns Against Using Magellan Diagnostics LeadCare Testing Systems with Blood Obtained from a Vein,,https://www.fda.gov/medical-devices/safety-communications/fda-warns-against-using-magellan-diagnostics-leadcare-testing-systems-blood-obtained-vein-fda-safety,5/17/2017,"MAGELLAN DIAGNOSTICS LEADCARE PROBLEMS, MAGELLAN DIAGNOSTICS LEADCARE ISSUES, MAGELLAN DIAGNOSTICS LEADCARE COMPLICATIONS","['WARNS MAGELLAN DIAGNOSTICS LEADCARE', 'https://www.fda.gov/medical-devices/safety-communications/fda-warns-against-using-magellan-diagnostics-leadcare-testing-systems-blood-obtained-vein-fda-safety']"
"FDA Warns Of Potentially Contaminated SPS 1 Static Preservation Solution Distributed by Organ Recovery Systems, Inc.",,https://www.fda.gov/medical-devices/safety-communications/fda-warns-potentially-contaminated-sps-1-static-preservation-solution-distributed-organ-recovery,3/9/2017,"CONTAMINATED STATIC PRESERVATION SOLUTION ORGAN RECOVERY, CONTAMINATED SPS ORGAN RECOVERY","[' WARNS CONTAMINATED SPS', 'https://www.fda.gov/medical-devices/safety-communications/fda-warns-potentially-contaminated-sps-1-static-preservation-solution-distributed-organ-recovery']"
FDA concern over experimental procedures that use balloon angioplasty devices to treat autonomic dysfunction,,https://www.fda.gov/medical-devices/safety-communications/fda-concern-over-experimental-procedures-use-balloon-angioplasty-devices-treat-autonomic-dysfunction,3/8/2017," ANGIOPLASTY AUTONOMIC DYSFUNCTION ISSUES,  ANGIOPLASTY AUTONOMIC DYSFUNCTION PROBLEMS,  ANGIOPLASTY AUTONOMIC DYSFUNCTION COMPLICATIONS","[' ANGIOPLASTY AUTONOMIC DYSFUNCTION', 'https://www.fda.gov/medical-devices/safety-communications/fda-concern-over-experimental-procedures-use-balloon-angioplasty-devices-treat-autonomic-dysfunction']"
UPDATE: Importance of Following Validated Reprocessing Instructions for PENTAX ED 3490TK Video Duodenoscopes,,https://www.fda.gov/medical-devices/safety-communications/update-importance-following-validated-reprocessing-instructions-pentax-ed-3490tk-video-duodenoscopes,1/17/2017,REPROCESSING INSTRUCTIONS PENTAX DUODENOSCOPES,"['VALIDATED REPROCESSING PENTAX DUODENOSCOPES', 'https://www.fda.gov/medical-devices/safety-communications/update-importance-following-validated-reprocessing-instructions-pentax-ed-3490tk-video-duodenoscopes']"
"FUJIFILM Medical Systems, U.S.A., Inc. removes certain older duodenoscope models from clinical use",,https://www.fda.gov/medical-devices/safety-communications/fujifilm-medical-systems-usa-inc-removes-certain-older-duodenoscope-models-clinical-use-fda-safety,1/13/2017,FUJIFILM REMOVES DUODENOSCOPE CLINICAL,"['FUJIFILM REMOVES DUODENOSCOPE CLINICAL', 'https://www.fda.gov/medical-devices/safety-communications/fujifilm-medical-systems-usa-inc-removes-certain-older-duodenoscope-models-clinical-use-fda-safety']"
Safety Concerns with Implantable Infusion Pumps in the Magnetic Resonance (MR) Environment,,https://www.fda.gov/medical-devices/safety-communications/safety-concerns-implantable-infusion-pumps-magnetic-resonance-mr-environment-fda-safety,1/11/2017,"IMPLANTABLE INFUSION PUMPS RESONANCE ISSUES, IMPLANTABLE INFUSION PUMPS RESONANCE PROBLEMS, IMPLANTABLE INFUSION PUMPS RESONANCE CONCERNS","['IMPLANTABLE INFUSION PUMPS RESONANCE', 'https://www.fda.gov/medical-devices/safety-communications/safety-concerns-implantable-infusion-pumps-magnetic-resonance-mr-environment-fda-safety']"
Cybersecurity Vulnerabilities Identified in St. Jude Medical's Implantable Cardiac Devices and Merlin@home Transmitter,,https://www.fda.gov/medical-devices/safety-communications/cybersecurity-vulnerabilities-identified-st-jude-medicals-implantable-cardiac-devices-and-merlinhome,1/9/2017,"CYBERSECURITY JUDE IMPLANTABLE CARDIAC, CYBERSECURITY JUDE TRANSMITTER","['CYBERSECURITY MEDICALS IMPLANTABLE MERLINHOME', 'https://www.fda.gov/medical-devices/safety-communications/cybersecurity-vulnerabilities-identified-st-jude-medicals-implantable-cardiac-devices-and-merlinhome']"
