,IMPAQ Category,Keyword,Title,Authors,Publication Date,Type,Tag,Link
10,BEHAVIORAL HEALTH,substance abuse,The Looming Expansion And Transformation Of Public Substance Abuse Treatment Under The Affordable Care Act,Jeffrey A. Buck,August-2011,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.0480
11,BEHAVIORAL HEALTH,substance abuse,The Urgency Of Providing Comprehensive And Integrated Treatment For Substance Abusers With HIV,Nora D. Volkow and Julio Montaner,August-2011,ANALYSIS & COMMENTARY,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.0663
12,BEHAVIORAL HEALTH,substance abuse,The Case For Measuring Quality In Mental Health And Substance Abuse Care,"Harold Alan Pincus, Brigitta Spaeth-Rublee, and Katherine E. Watkins",April-2011,ANALYSIS & COMMENTARY,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.0268
13,BEHAVIORAL HEALTH,substance abuse,"Changes In US Spending On Mental Health And Substance Abuse Treatment, 1986–2005, And Implications For Policy","Tami L. Mark, Katharine R. Levit, Rita Vandivort-Warren, Jeffrey A. Buck, and Rosanna M. Coffey",February-2011,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2010.0765
14,BEHAVIORAL HEALTH,mental illness,Measuring The Lifetime Costs Of Serious Mental Illness And The Mitigating Effects Of Educational Attainment,"Seth A. Seabury, Sarah Axeen, Gwyn Pauley, Bryan Tysinger, Danielle Schlosser, John B. Hernandez, Hanke Heun-Johnson, Henu Zhao, and Dana P. Goldman",April-2019,RESEARCH ARTICLE,BEHAVIORAL HEALTH CARE,https://www.healthaffairs.org/doi/10.1377/hlthaff.2018.05246
15,BEHAVIORAL HEALTH,mental illness,An ACA Provision Increased Treatment For Young Adults With Possible Mental Illnesses Relative To Comparison Group,Brendan Saloner and Benjamin Lê Cook,August-2014,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.0214
16,BEHAVIORAL HEALTH,substance use,Medication Treatment For Opioid Use Disorders In Substance Use Treatment Facilities,"Ramin Mojtabai, Christine Mauro, Melanie M. Wall, Colleen L. Barry, and Mark Olfson",January-2019,RESEARCH ARTICLE,BEHAVIORAL HEALTH CARE,https://www.healthaffairs.org/doi/10.1377/hlthaff.2018.05162
17,BEHAVIORAL HEALTH,substance use,How Is Telemedicine Being Used In Opioid And Other Substance Use Disorder Treatment?,"Haiden A. Huskamp, Alisa B. Busch, Jeffrey Souza, Lori Uscher-Pines, Sherri Rose, Andrew Wilcock, Bruce E. Landon, and Ateev Mehrotra",December-2018,RESEARCH ARTICLE,TELEHEALTH,https://www.healthaffairs.org/doi/10.1377/hlthaff.2018.05134
18,BEHAVIORAL HEALTH,substance use,Impact Of Medicaid Expansion On Coverage And Treatment Of Low-Income Adults With Substance Use Disorders,"Mark Olfson, Melanie Wall, Colleen L. Barry, Christine Mauro, and Ramin Mojtabai",August-2018,RESEARCH ARTICLE,BEHAVIORAL HEALTH CARE,https://www.healthaffairs.org/doi/10.1377/hlthaff.2018.0124
19,BEHAVIORAL HEALTH,substance use,Survey Highlights Differences In Medicaid Coverage For Substance Use Treatment And Opioid Use Disorder Medications,"Colleen M. Grogan, Christina Andrews, Amanda Abraham, Keith Humphreys, Harold A. Pollack, Bikki Tran Smith, and Peter D. Friedmann",December-2016,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.0623
20,BEHAVIORAL HEALTH,substance use,Understanding Patterns Of High-Cost Health Care Use Across Different Substance User Groups,"Jan Gryczynski, Robert P. Schwartz, Kevin E. O’Grady, Lauren Restivo, Shannon G. Mitchell, and Jerome H. Jaffe",January-2016,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2015.0618
21,BEHAVIORAL HEALTH,substance use,Federal Parity Law Associated With Increased Probability Of Using Out-Of-Network Substance Use Disorder Treatment Services,"Emma E. McGinty, Susan H. Busch, Elizabeth A. Stuart, Haiden A. Huskamp, Teresa B. Gibson, Howard H. Goldman, and Colleen L. Barry",August-2015,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.1384
22,BEHAVIORAL HEALTH,substance use,A Promising Approach For Emergency Departments To Care For Patients With Substance Use And Behavioral Disorders,Steven L. Bernstein and Gail D’Onofrio,December-2013,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2013.0664
23,OPIOID TREATMENT,opioid treatment,News Media Reporting On Medication Treatment For Opioid Use Disorder Amid The Opioid Epidemic,"Alene Kennedy-Hendricks, Jonathan Levin, Elizabeth Stone, Emma E. McGinty, Sarah E. Gollust, and Colleen L. Barry",April-2019,RESEARCH ARTICLE,BEHAVIORAL HEALTH CARE,https://www.healthaffairs.org/doi/10.1377/hlthaff.2018.05075
24,OPIOID TREATMENT,opioid treatment,Medication Treatment For Opioid Use Disorders In Substance Use Treatment Facilities,"Ramin Mojtabai, Christine Mauro, Melanie M. Wall, Colleen L. Barry, and Mark Olfson",January-2019,RESEARCH ARTICLE,BEHAVIORAL HEALTH CARE,https://www.healthaffairs.org/doi/10.1377/hlthaff.2018.05162
25,OPIOID TREATMENT,opioid treatment,How Is Telemedicine Being Used In Opioid And Other Substance Use Disorder Treatment?,"Haiden A. Huskamp, Alisa B. Busch, Jeffrey Souza, Lori Uscher-Pines, Sherri Rose, Andrew Wilcock, Bruce E. Landon, and Ateev Mehrotra",December-2018,RESEARCH ARTICLE,TELEHEALTH,https://www.healthaffairs.org/doi/10.1377/hlthaff.2018.05134
26,OPIOID TREATMENT,opioid treatment,Only One In Twenty Justice-Referred Adults In Specialty Treatment For Opioid Use Receive Methadone Or Buprenorphine,"Noa Krawczyk, Caroline E. Picher, Kenneth A. Feder, and Brendan Saloner",December-2017,RESEARCH ARTICLE,BEHAVIORAL HEALTH CARE,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.0890
27,OPIOID TREATMENT,opioid treatment,Survey Highlights Differences In Medicaid Coverage For Substance Use Treatment And Opioid Use Disorder Medications,"Colleen M. Grogan, Christina Andrews, Amanda Abraham, Keith Humphreys, Harold A. Pollack, Bikki Tran Smith, and Peter D. Friedmann",December-2016,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.0623
28,OPIOID TREATMENT,opioid treatment,"Growth In Buprenorphine Waivers For Physicians Increased Potential Access To Opioid Agonist Treatment, 2002–11","Andrew W. Dick, Rosalie L. Pacula, Adam J. Gordon, Mark Sorbero, Rachel M. Burns, Douglas Leslie, and Bradley D. Stein",June-2015,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.1205
29,OPIOID TREATMENT,opioid treatment,A Call For Evidence-Based Medical Treatment Of Opioid Dependence In The United States And Canada,"Bohdan Nosyk, M. Douglas Anglin, Suzanne Brissette, Thomas Kerr, David C. Marsh, Bruce R. Schackman, Evan Wood, and Julio S.G. Montaner",August-2013,ANALYSIS & COMMENTARY,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2012.0846
30,OPIOID TREATMENT,opioid treatment,The Evidence Doesn’t Justify Steps By State Medicaid Programs To Restrict Opioid Addiction Treatment With Buprenorphine,"Robin E. Clark, Mihail Samnaliev, Jeffrey D. Baxter, and Gary Y. Leung",August-2011,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2010.0532
31,OPIOID TREATMENT,opioid prescribing,Prescription Drug Monitoring Programs Are Associated With Sustained Reductions In Opioid Prescribing By Physicians,"Yuhua Bao, Yijun Pan, Aryn Taylor, Sharmini Radakrishnan, Feijun Luo, Harold Alan Pincus, and Bruce R. Schackman",June-2016,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2015.1673
32,OPIOID TREATMENT,opioids,A Health Plan’s Formulary Led To Reduced Use Of Extended-Release Opioids But Did Not Lower Overall Opioid Use,"Michael L. Barnett, Andrew R. Olenski, N. Marcus Thygeson, Denis Ishisaka, Salina Wong, Anupam B. Jena, and Ateev Mehrotra",September-2018,RESEARCH ARTICLE,PHARMACEUTICALS & MEDICAL TECHNOLOGY,https://www.healthaffairs.org/doi/10.1377/hlthaff.2018.0391
33,OPIOID TREATMENT,opioids,States With Prescription Drug Monitoring Mandates Saw A Reduction In Opioids Prescribed To Medicaid Enrollees,"Hefei Wen, Bruce R. Schackman, Brandon Aden, and Yuhua Bao",April-2017,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.1141
34,OPIOID TREATMENT,opioids,Mandatory Provider Review And Pain Clinic Laws Reduce The Amounts Of Opioids Prescribed And Overdose Death Rates,"Deborah Dowell, Kun Zhang, Rita K. Noonan, and Jason M. Hockenberry",October-2016,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.0448
35,OPIOID TREATMENT,opioids,"Payments For Opioids Shifted Substantially To Public And Private Insurers While Consumer Spending Declined, 1999–2012","Chao Zhou, Curtis S. Florence, and Deborah Dowell",May-2016,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2015.1103
36,OPIOID TREATMENT,opioid overdose,Group Health’s Initiative To Avert Opioid Misuse And Overdose Among Patients With Chronic Noncancer Pain,"Claire E. Trescott, Randi M. Beck, Michelle D. Seelig, and Michael R. Von Korff",August-2011,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.0759
37,COMPLEX MEDICAL/SOCIAL NEEDS,complex needs,Primary Care Physicians In Ten Countries Report Challenges Caring For Patients With Complex Health Needs,"Robin Osborn, Donald Moulds, Eric C. Schneider, Michelle M. Doty, David Squires, and Dana O. Sarnak",December-2015,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2015.1018
38,COMPLEX MEDICAL/SOCIAL NEEDS,high utilizers,Cross-Sector Service Use Among High Health Care Utilizers In Minnesota After Medicaid Expansion,"Katherine Diaz Vickery, Peter Bodurtha, Tyler N. A. Winkelman, Courtney Hougham, Ross Owen, Mark S. Legler, Erik Erickson, and Matthew M. Davis",January-2018,RESEARCH ARTICLE,CULTURE OF HEALTH,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.0991
39,COMPLEX MEDICAL/SOCIAL NEEDS,social determinants,Evaluating Strategies For Reducing Health Disparities By Addressing The Social Determinants Of Health,"Rachel L. J. Thornton, Crystal M. Glover, Crystal W. Cené, Deborah C. Glik, Jeffrey A. Henderson, and David R. Williams",August-2016,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2015.1357
40,COMPLEX MEDICAL/SOCIAL NEEDS,social determinants,Where Health Disparities Begin: The Role Of Social And Economic Determinants—And Why Current Policies May Make Matters Worse,Steven H. Woolf and Paula Braveman,October-2011,ANALYSIS & COMMENTARY,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.0685
41,COMPLEX MEDICAL/SOCIAL NEEDS,social needs,Integrating Social Needs Into Health Care: A Twenty-Year Case Study Of Adaptation And Diffusion,"Rebecca D. Onie, Risa Lavizzo-Mourey, Thomas H. Lee, James S. Marks, and Rocco J. Perla",February-2018,RESEARCH ARTICLE,DIFFUSION OF INNOVATION,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.1113
42,COMPLEX MEDICAL/SOCIAL NEEDS,uninsured,"Most Primary Care Physicians Provide Appointments, But Affordability Remains A Barrier For The Uninsured","Brendan Saloner, Katherine Hempstead, Karin Rhodes, Daniel Polsky, Clare Pan, and Genevieve M. Kenney",April-2018,RESEARCH ARTICLE,PRIMARY CARE,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.0959
43,COMPLEX MEDICAL/SOCIAL NEEDS,uninsured,Effects Of The ACA’s Health Insurance Marketplaces On The Previously Uninsured: A Quasi-Experimental Analysis,"Anna L. Goldman, Danny McCormick, Jennifer S. Haas, and Benjamin D. Sommers",April-2018,RESEARCH ARTICLE,AFFORDABLE CARE ACT,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.1390
44,COMPLEX MEDICAL/SOCIAL NEEDS,uninsured,The Uninsured Do Not Use The Emergency Department More—They Use Other Care Less,"Ruohua Annetta Zhou, Katherine Baicker, Sarah Taubman, and Amy N. Finkelstein",December-2017,RESEARCH ARTICLE,ACCESS & USE,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.0218
45,COMPLEX MEDICAL/SOCIAL NEEDS,uninsured,"In Four ACA Expansion States, The Percentage Of Uninsured Hospitalizations For People With HIV Declined, 2012–14",Fred J. Hellinger,December-2015,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2015.0718
46,COMPLEX MEDICAL/SOCIAL NEEDS,uninsured,Linking Uninsured Patients Treated In The Emergency Department To Primary Care Shows Some Promise In Maryland,"Theresa Y. Kim, Karoline Mortensen, and Barbara Eldridge",May-2015,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.1102
47,COMPLEX MEDICAL/SOCIAL NEEDS,uninsured,"Most Uninsured Adults Could Schedule Primary Care Appointments Before The ACA, But Average Price Was $160","Brendan Saloner, Daniel Polsky, Genevieve M. Kenney, Katherine Hempstead, and Karin V. Rhodes",May-2015,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.1258
48,COMPLEX MEDICAL/SOCIAL NEEDS,uninsured,"For Uninsured Cancer Patients, Outpatient Charges Can Be Costly, Putting Treatments Out Of Reach","Stacie B. Dusetzina, Ethan Basch, and Nancy L. Keating",April-2015,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.0801
49,COMPLEX MEDICAL/SOCIAL NEEDS,uninsured,California’s Hospital Fair Pricing Act Reduced The Prices Actually Paid By Uninsured Patients,Ge Bai,January-2015,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.1072
50,COMPLEX MEDICAL/SOCIAL NEEDS,uninsured,"Nearly 60,000 Uninsured And Low-Income People With HIV/AIDS Live In States That Are Not Expanding Medicaid","Julia Thornton Snider, Timothy Juday, John A. Romley, Daniel Seekins, Lisa Rosenblatt, Yuri Sanchez, and Dana P. Goldman",March-2014,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2013.1453
51,COMPLEX MEDICAL/SOCIAL NEEDS,uninsured,"No Evidence That Primary Care Physicians Offer Less Care To Medicaid, Community Health Center, Or Uninsured Patients","Brian K. Bruen, Leighton Ku, Xiaoxiao Lu, and Peter Shin",September-2013,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2012.1300
52,COMPLEX MEDICAL/SOCIAL NEEDS,uninsured,Dentists’ Partnership Of Michigan’s Calhoun County: A Care Model For Uninsured Populations,"Raymond J. Higbea, Charles H. Palumbo, Samantha A. Pearl, Mary Jo Byrne, and Jill Wise",September-2013,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2013.0159
53,COMPLEX MEDICAL/SOCIAL NEEDS,uninsured,Fair Pricing Law Prompts Most California Hospitals To Adopt Policies To Protect Uninsured Patients From High Charges,Glenn Melnick and Katya Fonkych,June-2013,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2012.0731
54,COMPLEX MEDICAL/SOCIAL NEEDS,uninsured,Implications For Reform: Survey Of California Adults Suggests Low Health Literacy Predicts Likelihood Of Being Uninsured,Tetine Sentell,May-2012,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.0954
55,COMPLEX MEDICAL/SOCIAL NEEDS,uninsured,Two Responses To A Premium Hike In A Program For Uninsured Kids: 4 In 5 Families Stay In As Enrollment Shrinks By A Fifth,"Michael R. Cousineau, Kai-Ya Tsai, and Howard A. Kahn",February-2012,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.0734
56,COMPLEX MEDICAL/SOCIAL NEEDS,uninsured,Lessons For Coverage Expansion: A Virginia Primary Care Program For The Uninsured Reduced Utilization And Cut Costs,"Cathy J. Bradley, Sabina Ohri Gandhi, David Neumark, Sheryl Garland, and Sheldon M. Retchin",February-2012,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.0857
57,COMPLEX MEDICAL/SOCIAL NEEDS,uninsured,"Undocumented Immigrants, Left Out Of Health Reform, Likely To Continue To Grow As Share Of The Uninsured","Stephen Zuckerman, Timothy A. Waidmann, and Emily Lawton",October-2011,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.0604
58,COMPLEX MEDICAL/SOCIAL NEEDS,uninsured,Model Safety-Net Programs Could Care For The Uninsured At One-Half The Cost Of Medicaid Or Private Insurance,"Mark A. Hall, Wenke Hwang, and Alison Snow Jones",September-2011,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2010.0946
59,COMPLEX MEDICAL/SOCIAL NEEDS,underinsured,Affordable Care Act Reforms Could Reduce The Number Of Underinsured US Adults By 70 Percent,"Cathy Schoen, Michelle M. Doty, Ruth H. Robertson, and Sara R. Collins",September-2011,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.0335
60,COMPLEX MEDICAL/SOCIAL NEEDS,supportive housing,Formerly Homeless People Had Lower Overall Health Care Expenditures After Moving Into Supportive Housing,"Bill J. Wright, Keri B. Vartanian, Hsin-Fang Li, Natalie Royal, and Jennifer K. Matson",January-2016,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2015.0393
61,COMPLEX MEDICAL/SOCIAL NEEDS,support services,"Individual Placement And Support Services Boost Employment For People With Serious Mental Illnesses, But Funding Is Lacking","Robert E. Drake, Gary R. Bond, Howard H. Goldman, Michael F. Hogan, and Mustafa Karakus",June-2016,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.0001
62,COMPLEX MEDICAL/SOCIAL NEEDS,support services,Expectations About Future Use Of Long-Term Services And Supports Vary By Current Living Arrangement,Carrie E. Henning-Smith and Tetyana P. Shippee,January-2015,RESEARCH ARTICLE,AGING & HEALTH,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.0556
63,COMPLEX MEDICAL/SOCIAL NEEDS,support services,Investing In HIV Services While Building Kenya’s Health System: PEPFAR’s Support To Prevent Mother-To-Child HIV Transmission,"Arin Dutta, Nathan Wallace, Peter Savosnick, John Adungosi, Urbanus Mutuku Kioko, Scott Stewart, Mai Hijazi, and Bedan Gichanga",July-2012,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2012.0227
64,COMPLEX MEDICAL/SOCIAL NEEDS,support services,"Gradual Rebalancing Of Medicaid Long-Term Services And Supports Saves Money And Serves More People, Statistical Model Shows",H. Stephen Kaye,June-2012,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.1237
65,COMPLEX MEDICAL/SOCIAL NEEDS,support services,Survey In Sub-Saharan Africa Shows Substantial Support For Government Efforts To Improve Health Services,"Sara E. Abiola, Richard Gonzales, Robert J. Blendon, and John Benson",August-2011,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2010.1055
66,COMPLEX MEDICAL/SOCIAL NEEDS,emergency department use,Frequent Emergency Department Users: A Statewide Comparison Before And After Affordable Care Act Implementation,"Shannon McConville, Maria C. Raven, Sarah H. Sabbagh, and Renee Y. Hsia",June-2018,RESEARCH ARTICLE,AFFORDABLE CARE ACT,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.0784
67,COMPLEX MEDICAL/SOCIAL NEEDS,emergency department use,Innovative Population Health Model Associated With Reduced Emergency Department Use And Inpatient Hospitalizations,"Donald Wesson, Heather Kitzman, Kenneth H. Halloran, and Kristen Tecson",April-2018,RESEARCH ARTICLE,CULTURE OF HEALTH,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.1099
68,COMPLEX MEDICAL/SOCIAL NEEDS,emergency department use,Persistent Frequent Emergency Department Use: Core Group Exhibits Extreme Levels Of Use For More Than A Decade,"Hemal K. Kanzaria, Matthew J. Niedzwiecki, Juan Carlos Montoy, Maria C. Raven, and Renee Y. Hsia",October-2017,RESEARCH ARTICLE,HOSPITALS,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.0658
69,COMPLEX MEDICAL/SOCIAL NEEDS,emergency department use,"Innovative Home Visit Models Associated With Reductions In Costs, Hospitalizations, And Emergency Department Use","Sarah Ruiz, Lynne Page Snyder, Christina Rotondo, Caitlin Cross-Barnet, Erin Murphy Colligan, and Katherine Giuriceo",March-2017,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.1305
70,COMPLEX MEDICAL/SOCIAL NEEDS,emergency department use,"After Medicaid Expansion In Kentucky, Use Of Hospital Emergency Departments For Dental Conditions Increased","Natalia Chalmers, Jane Grover, and Rob Compton",December-2016,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.0976
71,COMPLEX MEDICAL/SOCIAL NEEDS,emergency department use,Medicaid Expansion In 2014 Did Not Increase Emergency Department Use But Did Change Insurance Payer Mix,"Jesse M. Pines, Mark Zocchi, Ali Moghtaderi, Bernard Black, Steven A. Farmer, Greg Hufstetler, Kevin Klauer, and Randy Pilgrim",August-2016,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2015.1632
72,COMPLEX MEDICAL/SOCIAL NEEDS,emergency department use,Federally Qualified Health Center Use Among Dual Eligibles: Rates Of Hospitalizations And Emergency Department Visits,"Brad Wright, Andrew J. Potter, and Amal Trivedi",July-2015,RESEARCH ARTICLE,AGING & HEALTH,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.0823
73,COMPLEX MEDICAL/SOCIAL NEEDS,emergency department use,"In California, Primary Care Continuity Was Associated With Reduced Emergency Department Use And Fewer Hospitalizations","Nadereh Pourat, Anna C. Davis, Xiao Chen, Shelley Vrungos, and Gerald F. Kominski",July-2015,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.1165
74,COMPLEX MEDICAL/SOCIAL NEEDS,emergency department use,The Affordable Care Act Reduces Emergency Department Use By Young Adults: Evidence From Three States,"Tina Hernandez-Boussard, Carson S. Burns, N. Ewen Wang, Laurence C. Baker, and Benjamin A. Goldstein",September-2014,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.0103
75,COMPLEX MEDICAL/SOCIAL NEEDS,emergency department use,Dispelling An Urban Legend: Frequent Emergency Department Users Have Substantial Burden Of Disease,John Billings and Maria C. Raven,December-2013,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2012.1276
76,COMPLEX MEDICAL/SOCIAL NEEDS,emergency department use,Health Information Exchange Improves Identification Of Frequent Emergency Department Users,"Jason S. Shapiro, Sarah A. Johnson, John Angiollilo, William Fleischman, Arit Onyile, and Gilad Kuperman",December-2013,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2013.0167
77,COMPLEX MEDICAL/SOCIAL NEEDS,emergency department use,A Promising Approach For Emergency Departments To Care For Patients With Substance Use And Behavioral Disorders,Steven L. Bernstein and Gail D’Onofrio,December-2013,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2013.0664
78,COMPLEX MEDICAL/SOCIAL NEEDS,emergency department use,Mobile Clinic In Massachusetts Associated With Cost Savings From Lowering Blood Pressure And Emergency Department Use,"Zirui Song, Caterina Hill, Jennifer Bennet, Anthony Vavasis, and Nancy E. Oriol",January-2013,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.1392
79,COMPLEX MEDICAL/SOCIAL NEEDS,emergency department use,Copayments Did Not Reduce Medicaid Enrollees’ Nonemergency Use Of Emergency Departments,Karoline Mortensen,September-2010,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2009.0906
